corpus,experiment,condition,class,fold,metric,value
sep28k,deployment_clean_val,opus_16k,Block,0,auc,0.7150451130317571
sep28k,deployment_deg_val,opus_16k,Block,0,auc,0.7150451130317571
sep28k,matched_retraining_fixed,opus_16k,Block,0,auc,0.7140515663390179
sep28k,matched_retraining_val,opus_16k,Block,0,auc,0.7140515663390179
sep28k,majority_vote_fixed,opus_16k,Block,0,auc,0.7593691675998506
sep28k,mlp_head_degraded,opus_16k,Block,0,auc,0.7250280423807783
sep28k,deployment_fixed,opus_16k,Block,0,pr_auc,0.6725473665643453
sep28k,deployment_clean_val,opus_16k,Block,0,pr_auc,0.6725473665643453
sep28k,deployment_deg_val,opus_16k,Block,0,pr_auc,0.6725473665643453
sep28k,matched_retraining_fixed,opus_16k,Block,0,pr_auc,0.6694811411482431
sep28k,matched_retraining_val,opus_16k,Block,0,pr_auc,0.6694811411482431
sep28k,majority_vote_fixed,opus_16k,Block,0,pr_auc,0.28831862372495665
sep28k,mlp_head_degraded,opus_16k,Block,0,pr_auc,0.6782165862582354
sep28k,deployment_fixed,opus_16k,Block,0,ece,0.04428574300611398
sep28k,deployment_clean_val,opus_16k,Block,0,ece,0.04428574300611398
sep28k,deployment_deg_val,opus_16k,Block,0,ece,0.04428574300611398
sep28k,matched_retraining_fixed,opus_16k,Block,0,ece,0.04805676210061663
sep28k,matched_retraining_val,opus_16k,Block,0,ece,0.04805676210061663
sep28k,majority_vote_fixed,opus_16k,Block,0,ece,0.3644576623515574
sep28k,mlp_head_degraded,opus_16k,Block,0,ece,0.040399357303977
sep28k,deployment_fixed,opus_16k,Block,0,brier,0.2145874418169938
sep28k,deployment_clean_val,opus_16k,Block,0,brier,0.2145874418169938
sep28k,deployment_deg_val,opus_16k,Block,0,brier,0.2145874418169938
sep28k,matched_retraining_fixed,opus_16k,Block,0,brier,0.21536875985333623
sep28k,matched_retraining_val,opus_16k,Block,0,brier,0.21536875985333623
sep28k,majority_vote_fixed,opus_16k,Block,0,brier,0.2428198416475384
sep28k,mlp_head_degraded,opus_16k,Block,0,brier,0.2106584906578064
sep28k,deployment_fixed,opus_16k,Prolongation,0,f1,0.5874363327674024
sep28k,deployment_clean_val,opus_16k,Prolongation,0,f1,0.5792938360263316
sep28k,deployment_deg_val,opus_16k,Prolongation,0,f1,0.6032190342897131
sep28k,matched_retraining_fixed,opus_16k,Prolongation,0,f1,0.5962837837837838
sep28k,matched_retraining_val,opus_16k,Prolongation,0,f1,0.5916114790286976
sep28k,majority_vote_fixed,opus_16k,Prolongation,0,f1,0.3526510480887793
sep28k,mlp_head_degraded,opus_16k,Prolongation,0,f1,0.5147579693034239
sep28k,deployment_fixed,opus_16k,Prolongation,0,precision,0.543171114599686
sep28k,deployment_clean_val,opus_16k,Prolongation,0,precision,0.4283185840707965
sep28k,deployment_deg_val,opus_16k,Prolongation,0,precision,0.48536036036036034
sep28k,matched_retraining_fixed,opus_16k,Prolongation,0,precision,0.5489891135303266
sep28k,matched_retraining_val,opus_16k,Prolongation,0,precision,0.49144254278728605
sep28k,majority_vote_fixed,opus_16k,Prolongation,0,precision,0.22448979591836735
sep28k,mlp_head_degraded,opus_16k,Prolongation,0,precision,0.7124183006535948
sep28k,deployment_fixed,opus_16k,Prolongation,0,recall,0.6395563770794824
sep28k,deployment_clean_val,opus_16k,Prolongation,0,recall,0.8946395563770795
sep28k,deployment_deg_val,opus_16k,Prolongation,0,recall,0.7966728280961183
sep28k,matched_retraining_fixed,opus_16k,Prolongation,0,recall,0.6524953789279113
sep28k,matched_retraining_val,opus_16k,Prolongation,0,recall,0.7430683918669131
sep28k,majority_vote_fixed,opus_16k,Prolongation,0,recall,0.8218390804597702
sep28k,mlp_head_degraded,opus_16k,Prolongation,0,recall,0.4029574861367837
sep28k,deployment_fixed,opus_16k,Prolongation,0,auc,0.7653525192915578
sep28k,deployment_clean_val,opus_16k,Prolongation,0,auc,0.7653525192915578
sep28k,deployment_deg_val,opus_16k,Prolongation,0,auc,0.7653525192915578
sep28k,matched_retraining_fixed,opus_16k,Prolongation,0,auc,0.7666616048691002
sep28k,matched_retraining_val,opus_16k,Prolongation,0,auc,0.7666616048691002
sep28k,majority_vote_fixed,opus_16k,Prolongation,0,auc,0.8275297834953491
sep28k,mlp_head_degraded,opus_16k,Prolongation,0,auc,0.7733536503414967
sep28k,deployment_fixed,opus_16k,Prolongation,0,pr_auc,0.6619848931455388
sep28k,deployment_clean_val,opus_16k,Prolongation,0,pr_auc,0.6619848931455388
sep28k,deployment_deg_val,opus_16k,Prolongation,0,pr_auc,0.6619848931455388
sep28k,matched_retraining_fixed,opus_16k,Prolongation,0,pr_auc,0.6631998610923509
sep28k,matched_retraining_val,opus_16k,Prolongation,0,pr_auc,0.6631998610923509
sep28k,majority_vote_fixed,opus_16k,Prolongation,0,pr_auc,0.4333277366440526
sep28k,mlp_head_degraded,opus_16k,Prolongation,0,pr_auc,0.6660032315904676
sep28k,deployment_fixed,opus_16k,Prolongation,0,ece,0.1114147026718393
