condition,class,clean_f1,degraded_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,rel_delta_pct,clean_auc,degraded_auc,delta_auc,delta_auc_ci_low,delta_auc_ci_high,p_val_raw,p_val_holm,rho,delta
full_chain,SoundRep,0.658818913086129,0.5702181741156535,-0.0886007389704756,-0.10626095493540931,-0.07331271335684214,-13.448420682921803,0.8442656884908766,0.7612551684314951,-0.08301052005938148,-0.09620621970423167,-0.07060788534302605,0.001,0.005,0.7213975738458956,0.47307
full_chain,WordRep,0.6447193990278391,0.5723965763195435,-0.0723228227082956,-0.08988994453855795,-0.05463006374837421,-11.217720890258597,0.8513323333333334,0.82340075,-0.027931583333333343,-0.03675035124991538,-0.0194309954185314,0.001,0.005,0.7213975738458956,0.47307
full_chain,Interjection,0.756299938537185,0.7336653085860873,-0.022634629951097773,-0.031098452628600358,-0.013179220646416754,-2.992811290567743,0.8656133532445605,0.8462087097289681,-0.019404643515592346,-0.024427725617000608,-0.013939881551230816,0.001,0.005,0.7213975738458956,0.47307
random_del_matched,Block,0.6377675426713628,0.6268763402430307,-0.01089120242833208,-0.02220222373361883,0.0012521060553102477,-1.7077072286734793,0.7242523802631662,0.6623979460200993,-0.061854434243066914,-0.07222337179944138,-0.05084169396480625,0.082,0.082,0.42094283019339596,0.41286874999999995
random_del_matched,Prolongation,0.6238406046032291,0.4495480087955045,-0.1742925958077246,-0.19690180923751174,-0.15246488812834308,-27.93864242270299,0.7889036355449687,0.7057004895958097,-0.08320314594915901,-0.09535300365762883,-0.07082449216260914,0.001,0.005,0.42094283019339596,0.41286874999999995
random_del_matched,SoundRep,0.658818913086129,0.5772197309417041,-0.08159918214442496,-0.0952194605126299,-0.06841840743465735,-12.38567693240423,0.8442656884908766,0.7699360100936715,-0.07432967839720506,-0.08489504577893559,-0.0636142747503842,0.001,0.005,0.42094283019339596,0.41286874999999995
random_del_matched,WordRep,0.6447193990278391,0.5526315789473685,-0.09208782008047067,-0.10977511096807224,-0.07466946235263217,-14.28339525991125,0.8513323333333334,0.7682711666666667,-0.08306116666666663,-0.09634796995479812,-0.07046465593456737,0.001,0.005,0.42094283019339596,0.41286874999999995
random_del_matched,Interjection,0.756299938537185,0.6869187848729076,-0.06938115366427744,-0.08110459972145385,-0.05786282946951361,-9.173761642566387,0.8656133532445605,0.7931816705421852,-0.07243168270237521,-0.0829554040653742,-0.0613526041905349,0.001,0.005,0.42094283019339596,0.41286874999999995
random_del_30pct,Block,0.6377675426713628,0.6299410214581503,-0.007826521213212478,-0.017114261327149143,0.0018873987314715287,-1.2271745878490763,0.7242523802631662,0.6974128914927222,-0.026839488770443953,-0.033014581689217934,-0.020919020983815907,0.116,0.116,0.32492389473659344,0.2999999999999999
random_del_30pct,Prolongation,0.6238406046032291,0.563251762754044,-0.060588841849185116,-0.0739947489656563,-0.04704236826437714,-9.71223120170583,0.7889036355449687,0.7617683995066054,-0.02713523603836332,-0.03394553589352127,-0.02057856889020271,0.001,0.005,0.32492389473659344,0.2999999999999999
random_del_30pct,SoundRep,0.658818913086129,0.6309101102597645,-0.027908802826364543,-0.039611789063544595,-0.017973091139495086,-4.236187254496131,0.8442656884908766,0.8163146568220424,-0.02795103166883417,-0.03489802275287614,-0.021305839278540472,0.001,0.005,0.32492389473659344,0.2999999999999999
random_del_30pct,WordRep,0.6447193990278391,0.6040868454661558,-0.04063255356168338,-0.05388024804070385,-0.02669903854181877,-6.3023624886970175,0.8513323333333334,0.8217660833333333,-0.029566250000000016,-0.03677204340544787,-0.022274761166395925,0.001,0.005,0.32492389473659344,0.2999999999999999
random_del_30pct,Interjection,0.756299938537185,0.7409503947564428,-0.01534954378074227,-0.023431051060958906,-0.006857819616142996,-2.0295577189165113,0.8656133532445605,0.8469541277789568,-0.018659225465603613,-0.02437976811691053,-0.01315130283644686,0.002,0.005,0.32492389473659344,0.2999999999999999
